,HOUSEKEEPING_NR,TYPHH,rinpersoon,PLHH,REFPERSOONHH,NUMBERPERSHH,DATE_STIRTHH,DATUMEINDEHH,AANTALOVHH,AANTALKINDHH,BIRTHEDYOUNGCHILDHH,GEBMAANDJONGSTEKINDHH,GEBJAAROUDSTEKINDHH,BMAANDOUDSTEKINDHH
2,e94bc627,couple with children,83848be9,partner in couple with children,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
3,e94bc627,couple with children,437acb0e,child living at home,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
4,e94bc627,couple with children,a9998b37,child living at home,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
0,e16d39e3,couple with children,461f62ba,partner in couple with children,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
1,e16d39e3,couple with children,c2d3fb66,child living at home,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
2,e16d39e3,couple with children,120a256a,child living at home,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
3,e16d39e3,couple with children,887cd01c,partner in couple with children,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
4,e16d39e3,couple with children,649fec27,child living at home,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
0,208bf2ca,couple with children,af1b4a1b,partner in couple with children,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
1,208bf2ca,couple with children,2ae09b76,partner in couple with children,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
2,208bf2ca,couple with children,8f260525,child living at home,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
3,208bf2ca,couple with children,88285fb4,child living at home,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
4,208bf2ca,couple with children,09f7a651,child living at home,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
0,9764e583,couple with children,1cefb90b,partner in couple with children,1,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
1,9764e583,couple with children,c87c7eb3,partner in couple with children,1,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
2,9764e583,couple with children,1610981e,child living at home,1,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
3,9764e583,couple with children,37aba74f,child living at home,1,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
4,9764e583,couple with children,a553b7f9,child living at home,1,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
5,9764e583,couple with children,242743fd,child living at home,1,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
0,1226ed24,couple with children,30197924,partner in couple with children,1,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
1,1226ed24,couple with children,f99b413e,child living at home,1,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
2,1226ed24,couple with children,caffcfd9,child living at home,1,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
3,1226ed24,couple with children,be0a58d4,child living at home,1,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
4,1226ed24,couple with children,ecc584e2,partner in couple with children,1,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
5,1226ed24,couple with children,916b9948,child living at home,1,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
0,367b57f2,couple without children,20a30672,partner in couple without children,1,2,1995-01-01,1996-01-01,2,0,2015.0,01,2010.0,05
1,367b57f2,couple without children,d35cf72b,partner in couple without children,1,2,1995-01-01,1996-01-01,2,0,2015.0,01,2010.0,05
0,0fc8faa3,single person household,0b2f1798,single person,1,1,1995-01-01,1996-01-01,1,0,,--,,--
0,db8b38de,single person household,74fdfb73,single person,0,1,1995-01-01,1996-01-01,1,0,,--,,--
0,50a82ac0,single parent household,de5b3581,parent in single parent household,1,2,1995-01-01,1996-01-01,1,1,,--,,--
1,50a82ac0,single parent household,f39962d5,child living at home,1,2,1995-01-01,1996-01-01,1,1,,--,,--
0,51de5bb7,couple with children,a58f8773,partner in couple with children,1,7,1995-01-01,1996-01-01,2,5,2015.0,01,2010.0,05
1,51de5bb7,couple with children,fde16b96,child living at home,1,7,1995-01-01,1996-01-01,2,5,2015.0,01,2010.0,05
2,51de5bb7,couple with children,65a2e8d1,child living at home,1,7,1995-01-01,1996-01-01,2,5,2015.0,01,2010.0,05
3,51de5bb7,couple with children,b0a21246,child living at home,1,7,1995-01-01,1996-01-01,2,5,2015.0,01,2010.0,05
4,51de5bb7,couple with children,17250469,child living at home,1,7,1995-01-01,1996-01-01,2,5,2015.0,01,2010.0,05
5,51de5bb7,couple with children,ec2e126b,child living at home,1,7,1995-01-01,1996-01-01,2,5,2015.0,01,2010.0,05
6,51de5bb7,couple with children,431cea40,partner in couple with children,1,7,1995-01-01,1996-01-01,2,5,2015.0,01,2010.0,05
0,ccf68517,single person household,8f30630d,single person,1,1,1995-01-01,1996-01-01,1,0,,--,,--
0,07a30e39,couple with children,6d9cc4bb,partner in couple with children,1,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
1,07a30e39,couple with children,34c3bf80,partner in couple with children,1,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
2,07a30e39,couple with children,853fe91f,child living at home,1,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
0,cf157266,couple with children,90d5c62a,partner in couple with children,0,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
1,cf157266,couple with children,bc90f08b,child living at home,0,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
2,cf157266,couple with children,9e0c9697,child living at home,0,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
3,cf157266,couple with children,38f180e6,child living at home,0,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
4,cf157266,couple with children,2bbc5d88,partner in couple with children,0,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
5,cf157266,couple with children,befc15c9,child living at home,0,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
0,30aed750,couple without children,9c7fae3a,partner in couple without children,1,2,1995-01-01,1996-01-01,2,0,2015.0,01,2010.0,05
1,30aed750,couple without children,eb1e611e,partner in couple without children,1,2,1995-01-01,1996-01-01,2,0,2015.0,01,2010.0,05
0,b3578b16,couple with children,02dae9b3,partner in couple with children,0,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
1,b3578b16,couple with children,ceb688ab,child living at home,0,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
2,b3578b16,couple with children,6b9bb414,child living at home,0,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
3,b3578b16,couple with children,803211ef,child living at home,0,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
4,b3578b16,couple with children,92ad9e37,partner in couple with children,0,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
5,b3578b16,couple with children,6566547b,child living at home,0,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
0,c486e628,single person household,1e5842ee,single person,0,1,1995-01-01,1996-01-01,1,0,,--,,--
0,17217684,couple with children,61243c95,partner in couple with children,0,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
1,17217684,couple with children,4f3a8f30,partner in couple with children,0,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
2,17217684,couple with children,ca5c5e48,child living at home,0,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
3,17217684,couple with children,860ec335,child living at home,0,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
4,17217684,couple with children,2d1ba0a5,child living at home,0,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
0,caea9e80,couple without children,9b083d70,partner in couple without children,0,2,1995-01-01,1996-01-01,2,0,2015.0,01,2010.0,05
1,caea9e80,couple without children,f685e86d,partner in couple without children,0,2,1995-01-01,1996-01-01,2,0,2015.0,01,2010.0,05
0,1e165fa0,single person household,7c903c8b,single person,1,1,1995-01-01,1996-01-01,1,0,,--,,--
0,fd54ae85,single parent household,a97ae209,parent in single parent household,0,2,1995-01-01,1996-01-01,1,1,,--,,--
1,fd54ae85,single parent household,93c3b503,child living at home,0,2,1995-01-01,1996-01-01,1,1,,--,,--
0,23ef24a3,single parent household,b26b57de,parent in single parent household,1,2,1995-01-01,1996-01-01,1,1,,--,,--
1,23ef24a3,single parent household,183ef5f3,child living at home,1,2,1995-01-01,1996-01-01,1,1,,--,,--
0,5784b6c3,couple with children,247fbc76,partner in couple with children,0,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
1,5784b6c3,couple with children,dd318db8,partner in couple with children,0,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
2,5784b6c3,couple with children,edecd5f5,child living at home,0,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
3,5784b6c3,couple with children,d5bd699f,child living at home,0,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
0,55bdc77e,single person household,ddd88a26,single person,0,1,1995-01-01,1996-01-01,1,0,,--,,--
0,d3ee50da,single parent household,f901aeea,parent in single parent household,1,3,1995-01-01,1996-01-01,1,2,,--,,--
1,d3ee50da,single parent household,62058e8a,child living at home,1,3,1995-01-01,1996-01-01,1,2,,--,,--
2,d3ee50da,single parent household,65fbc6a1,child living at home,1,3,1995-01-01,1996-01-01,1,2,,--,,--
0,f83ce818,single person household,df16a0df,single person,1,1,1995-01-01,1996-01-01,1,0,,--,,--
0,787d8e6d,single parent household,bbe7343e,parent in single parent household,0,2,1995-01-01,1996-01-01,1,1,,--,,--
1,787d8e6d,single parent household,7cdf5a71,child living at home,0,2,1995-01-01,1996-01-01,1,1,,--,,--
0,b1d5829e,couple with children,5f2120dd,partner in couple with children,0,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
1,b1d5829e,couple with children,c6a4c67e,partner in couple with children,0,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
2,b1d5829e,couple with children,16f92055,child living at home,0,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
3,b1d5829e,couple with children,2e738989,child living at home,0,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
0,b55a1feb,couple with children,11590e61,partner in couple with children,0,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
1,b55a1feb,couple with children,f531984b,partner in couple with children,0,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
2,b55a1feb,couple with children,3d190e9d,child living at home,0,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
3,b55a1feb,couple with children,7be701c2,child living at home,0,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
4,b55a1feb,couple with children,13cf5fcd,child living at home,0,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
0,23ae98aa,single person household,4ab62457,single person,1,1,1995-01-01,1996-01-01,1,0,,--,,--
0,788e1575,single parent household,6c41c19b,parent in single parent household,1,2,1995-01-01,1996-01-01,1,1,,--,,--
1,788e1575,single parent household,e2df154c,child living at home,1,2,1995-01-01,1996-01-01,1,1,,--,,--
0,bcd22a38,couple with children,57c99fa1,partner in couple with children,1,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
1,bcd22a38,couple with children,37490794,child living at home,1,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
2,bcd22a38,couple with children,d6a8c905,partner in couple with children,1,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
3,bcd22a38,couple with children,83d3fd5c,child living at home,1,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
0,353a3870,couple with children,677fc918,partner in couple with children,0,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
1,353a3870,couple with children,03c6605f,partner in couple with children,0,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
2,353a3870,couple with children,67254760,child living at home,0,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
3,353a3870,couple with children,7b44a300,child living at home,0,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
0,eaf89eb1,single person household,f47b6fce,single person,1,1,1995-01-01,1996-01-01,1,0,,--,,--
0,ae909ab2,single parent household,99bafd58,parent in single parent household,1,4,1995-01-01,1996-01-01,1,3,,--,,--
1,ae909ab2,single parent household,d9b62737,child living at home,1,4,1995-01-01,1996-01-01,1,3,,--,,--
2,ae909ab2,single parent household,ed2760e4,child living at home,1,4,1995-01-01,1996-01-01,1,3,,--,,--
3,ae909ab2,single parent household,a514d4f3,child living at home,1,4,1995-01-01,1996-01-01,1,3,,--,,--
0,e5175f77,couple without children,6cce39de,partner in couple without children,0,2,1995-01-01,1996-01-01,2,0,2015.0,01,2010.0,05
1,e5175f77,couple without children,2ba7c873,partner in couple without children,0,2,1995-01-01,1996-01-01,2,0,2015.0,01,2010.0,05
0,eebe68ff,single parent household,73714a86,parent in single parent household,1,3,1995-01-01,1996-01-01,1,2,,--,,--
1,eebe68ff,single parent household,203f72e6,child living at home,1,3,1995-01-01,1996-01-01,1,2,,--,,--
2,eebe68ff,single parent household,563983b6,child living at home,1,3,1995-01-01,1996-01-01,1,2,,--,,--
0,a6356b00,couple with children,0fab8cd4,partner in couple with children,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
1,a6356b00,couple with children,1ee23966,child living at home,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
2,a6356b00,couple with children,2e4a5aa7,child living at home,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
3,a6356b00,couple with children,072ccdc5,child living at home,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
4,a6356b00,couple with children,ba1c5bc0,partner in couple with children,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
0,ee7fb9e8,single person household,504039d3,single person,0,1,1995-01-01,1996-01-01,1,0,,--,,--
0,7d843191,single person household,1c0cf745,single person,1,1,1995-01-01,1996-01-01,1,0,,--,,--
0,f29d9db0,couple with children,c287df82,partner in couple with children,0,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
1,f29d9db0,couple with children,d5eae13d,partner in couple with children,0,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
2,f29d9db0,couple with children,3ecfc7de,child living at home,0,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
3,f29d9db0,couple with children,f0a19adc,child living at home,0,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
0,85de54be,single person household,9c292f29,single person,0,1,1995-01-01,1996-01-01,1,0,,--,,--
0,61ca8b48,couple with children,04944dda,partner in couple with children,0,8,1995-01-01,1996-01-01,2,6,2015.0,01,2010.0,05
1,61ca8b48,couple with children,d1ccc4c3,child living at home,0,8,1995-01-01,1996-01-01,2,6,2015.0,01,2010.0,05
2,61ca8b48,couple with children,1d4d2171,child living at home,0,8,1995-01-01,1996-01-01,2,6,2015.0,01,2010.0,05
3,61ca8b48,couple with children,1a55e142,child living at home,0,8,1995-01-01,1996-01-01,2,6,2015.0,01,2010.0,05
4,61ca8b48,couple with children,870e1532,partner in couple with children,0,8,1995-01-01,1996-01-01,2,6,2015.0,01,2010.0,05
5,61ca8b48,couple with children,c85b38d8,child living at home,0,8,1995-01-01,1996-01-01,2,6,2015.0,01,2010.0,05
6,61ca8b48,couple with children,c70f17db,child living at home,0,8,1995-01-01,1996-01-01,2,6,2015.0,01,2010.0,05
7,61ca8b48,couple with children,201b0565,child living at home,0,8,1995-01-01,1996-01-01,2,6,2015.0,01,2010.0,05
0,0e1d9545,couple with children,9ce02f22,partner in couple with children,0,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
1,0e1d9545,couple with children,0f66bec7,child living at home,0,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
2,0e1d9545,couple with children,2ecb427e,partner in couple with children,0,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
0,80bf8a50,couple with children,f7117412,partner in couple with children,1,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
1,80bf8a50,couple with children,9474d614,child living at home,1,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
2,80bf8a50,couple with children,8cd4678b,child living at home,1,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
3,80bf8a50,couple with children,b45bb496,partner in couple with children,1,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
0,84cf3aad,single parent household,cd698d09,parent in single parent household,1,2,1995-01-01,1996-01-01,1,1,,--,,--
1,84cf3aad,single parent household,98070944,child living at home,1,2,1995-01-01,1996-01-01,1,1,,--,,--
0,9e61a76c,single person household,4551f63c,single person,1,1,1995-01-01,1996-01-01,1,0,,--,,--
0,a7ec39ff,couple with children,a5d88020,partner in couple with children,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
1,a7ec39ff,couple with children,1a42e2e9,child living at home,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
2,a7ec39ff,couple with children,f5126b48,child living at home,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
3,a7ec39ff,couple with children,b31cdcdb,child living at home,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
4,a7ec39ff,couple with children,e3ee2e3d,partner in couple with children,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
0,a579f418,single person household,94c7184b,single person,1,1,1995-01-01,1996-01-01,1,0,,--,,--
0,62d1441f,couple with children,fbbcb456,partner in couple with children,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
1,62d1441f,couple with children,7ea2119e,child living at home,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
2,62d1441f,couple with children,52ba2d04,child living at home,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
3,62d1441f,couple with children,761df28c,partner in couple with children,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
4,62d1441f,couple with children,0e30c262,child living at home,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
0,eda663a5,single person household,741b384b,single person,1,1,1995-01-01,1996-01-01,1,0,,--,,--
0,8c956c29,single parent household,87262451,parent in single parent household,1,2,1995-01-01,1996-01-01,1,1,,--,,--
1,8c956c29,single parent household,61afa796,child living at home,1,2,1995-01-01,1996-01-01,1,1,,--,,--
0,4eaf4b3d,single person household,3021edf4,single person,1,1,1995-01-01,1996-01-01,1,0,,--,,--
0,13492572,single person household,ad20a108,single person,1,1,1995-01-01,1996-01-01,1,0,,--,,--
0,f865368a,couple with children,5e610014,partner in couple with children,1,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
1,f865368a,couple with children,c2921c9d,partner in couple with children,1,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
2,f865368a,couple with children,77b6a3cb,child living at home,1,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
0,0dc2dd55,couple with children,8d478736,partner in couple with children,1,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
1,0dc2dd55,couple with children,4d5f864d,partner in couple with children,1,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
2,0dc2dd55,couple with children,56b25cd7,child living at home,1,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
3,0dc2dd55,couple with children,b58fe046,child living at home,1,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
0,ddf33ad3,couple with children,934a8721,partner in couple with children,0,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
1,ddf33ad3,couple with children,0d302242,partner in couple with children,0,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
2,ddf33ad3,couple with children,d13d415e,child living at home,0,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
3,ddf33ad3,couple with children,5d71be0c,child living at home,0,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
4,ddf33ad3,couple with children,ca9fd164,child living at home,0,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
0,062e49e9,couple with children,2f0335cb,partner in couple with children,0,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
1,062e49e9,couple with children,9ddc42d7,child living at home,0,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
2,062e49e9,couple with children,d9eda59d,partner in couple with children,0,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
3,062e49e9,couple with children,0dd786a4,child living at home,0,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
0,11161a29,single parent household,678c09b8,parent in single parent household,0,2,1995-01-01,1996-01-01,1,1,,--,,--
1,11161a29,single parent household,c5fcc4f8,child living at home,0,2,1995-01-01,1996-01-01,1,1,,--,,--
0,759c0a93,couple with children,972eff55,partner in couple with children,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
1,759c0a93,couple with children,28a097ab,child living at home,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
2,759c0a93,couple with children,6c7764d8,child living at home,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
3,759c0a93,couple with children,2707d4e0,child living at home,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
4,759c0a93,couple with children,cf188e9e,partner in couple with children,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
0,bdd0d539,couple with children,21ecd92b,partner in couple with children,0,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
1,bdd0d539,couple with children,d5268abb,child living at home,0,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
2,bdd0d539,couple with children,a89314ac,child living at home,0,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
3,bdd0d539,couple with children,9554b54a,child living at home,0,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
4,bdd0d539,couple with children,841030bd,partner in couple with children,0,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
5,bdd0d539,couple with children,17184c4d,child living at home,0,6,1995-01-01,1996-01-01,2,4,2015.0,01,2010.0,05
0,4a40e9d6,couple with children,678a040d,partner in couple with children,1,7,1995-01-01,1996-01-01,2,5,2015.0,01,2010.0,05
1,4a40e9d6,couple with children,359722c1,partner in couple with children,1,7,1995-01-01,1996-01-01,2,5,2015.0,01,2010.0,05
2,4a40e9d6,couple with children,f069856a,child living at home,1,7,1995-01-01,1996-01-01,2,5,2015.0,01,2010.0,05
3,4a40e9d6,couple with children,6fabb65e,child living at home,1,7,1995-01-01,1996-01-01,2,5,2015.0,01,2010.0,05
4,4a40e9d6,couple with children,c338ceb1,child living at home,1,7,1995-01-01,1996-01-01,2,5,2015.0,01,2010.0,05
5,4a40e9d6,couple with children,057ba9b9,child living at home,1,7,1995-01-01,1996-01-01,2,5,2015.0,01,2010.0,05
6,4a40e9d6,couple with children,c198ade7,child living at home,1,7,1995-01-01,1996-01-01,2,5,2015.0,01,2010.0,05
0,81dc7733,couple with children,2061558e,partner in couple with children,1,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
1,81dc7733,couple with children,d487548b,child living at home,1,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
2,81dc7733,couple with children,19fb8f76,partner in couple with children,1,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
0,98494c83,couple with children,20196197,partner in couple with children,1,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
1,98494c83,couple with children,6683d80c,partner in couple with children,1,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
2,98494c83,couple with children,59eef06d,child living at home,1,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
0,d70d768a,couple with children,91a48532,partner in couple with children,1,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
1,d70d768a,couple with children,f435ebc1,partner in couple with children,1,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
2,d70d768a,couple with children,e9e764db,child living at home,1,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
0,1b10bc97,couple with children,46b505a6,partner in couple with children,1,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
1,1b10bc97,couple with children,56f21f55,partner in couple with children,1,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
2,1b10bc97,couple with children,1db438e4,child living at home,1,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
0,3ca86d23,single person household,ce9427ee,single person,1,1,1995-01-01,1996-01-01,1,0,,--,,--
0,3f74dfbc,single person household,3f4b9328,single person,1,1,1995-01-01,1996-01-01,1,0,,--,,--
0,90052fae,single person household,e11d0757,single person,1,1,1995-01-01,1996-01-01,1,0,,--,,--
0,1db0cd85,single parent household,99cb489e,parent in single parent household,0,5,1995-01-01,1996-01-01,1,4,,--,,--
1,1db0cd85,single parent household,73f902fd,child living at home,0,5,1995-01-01,1996-01-01,1,4,,--,,--
2,1db0cd85,single parent household,ff6b9882,child living at home,0,5,1995-01-01,1996-01-01,1,4,,--,,--
3,1db0cd85,single parent household,a065a60e,child living at home,0,5,1995-01-01,1996-01-01,1,4,,--,,--
4,1db0cd85,single parent household,d1e4b544,child living at home,0,5,1995-01-01,1996-01-01,1,4,,--,,--
0,fc4fdd10,couple with children,140ccda3,partner in couple with children,0,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
1,fc4fdd10,couple with children,710c492f,partner in couple with children,0,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
2,fc4fdd10,couple with children,7419b1d5,child living at home,0,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
0,ea1d5d78,couple with children,8e4c24e7,partner in couple with children,1,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
1,ea1d5d78,couple with children,d7aa5f87,child living at home,1,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
2,ea1d5d78,couple with children,0cb80b58,child living at home,1,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
3,ea1d5d78,couple with children,24f5df1e,partner in couple with children,1,4,1995-01-01,1996-01-01,2,2,2015.0,01,2010.0,05
0,c9c36cce,single parent household,d778175c,parent in single parent household,1,2,1995-01-01,1996-01-01,1,1,,--,,--
1,c9c36cce,single parent household,683b88f2,child living at home,1,2,1995-01-01,1996-01-01,1,1,,--,,--
0,34849634,couple with children,d2e93468,partner in couple with children,1,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
1,34849634,couple with children,2e034bc2,partner in couple with children,1,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
2,34849634,couple with children,2ab990a8,child living at home,1,3,1995-01-01,1996-01-01,2,1,2015.0,01,2010.0,05
0,cb8a8b0d,couple with children,245acfda,partner in couple with children,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
1,cb8a8b0d,couple with children,ac9dc132,partner in couple with children,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
2,cb8a8b0d,couple with children,1eb88f50,child living at home,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
3,cb8a8b0d,couple with children,17f5c34f,child living at home,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
4,cb8a8b0d,couple with children,2c355d86,child living at home,1,5,1995-01-01,1996-01-01,2,3,2015.0,01,2010.0,05
0,fe4bd453,single person household,d3229821,single person,1,1,1995-01-01,1996-01-01,1,0,,--,,--
